STT,Loại,ID,Tên cột,Nội dung
1,Image,"background-music","image_background-music",""
2,Image,"music-toggle","image_music-toggle",""
3,Image,"play-icon","image_play-icon",""
4,Image,"pause-icon","image_pause-icon",""
5,Text,"shape_GqzzKELeYi","text_shape_gqzzkeleyi","Freepik"
6,Image,"SECTION1","image_SECTION1",""
7,Image,"NOTIFY1","image_NOTIFY1",""
8,Image,"IMAGE2","image_2",""
9,Text,"GROUP216","save_the_date","Save The Date"
10,Image,"IMAGE1","image_1",""
11,Text,"BOX1","save_the_date_2","Save The Date"
12,Text,"HEADLINE3","save_the_date_3","Save The Date"
13,Text,"GROUP43","save_the_date_4","Save The Date"
14,Text,"GROUP6","text_group6","Trọng Nhân"
15,Text,"HEADLINE9","headline_9","Trọng Nhân"
16,Text,"HEADLINE10","headline_10","Trọng Nhân"
17,Text,"HEADLINE11","headline_11","Trọng Nhân"
18,Text,"LINE15","text_line15","&amp;"
19,Text,"GROUP42","text_group42","Hồng Nhung"
20,Text,"PARAGRAPH37","text_37","05 - 2025"
21,Text,"PARAGRAPH38","weekday","THỨ SÁU"
22,Text,"PARAGRAPH39","weekday_2","THỨ SÁU"
23,Text,"PARAGRAPH42","text_42","08:00"
24,Text,"PARAGRAPH43","venue_name","Địa điểm tổ chức"
25,Text,"PARAGRAPH44","venue_name_2","Địa điểm tổ chức"
26,Text,"PARAGRAPH45","venue_name_3","Địa điểm tổ chức"
27,Text,"BOX16","text_box16","Giới Thiệu"
28,Text,"GROUP101","text_group101","Giới Thiệu"
29,Image,"IMAGE5","image_5",""
30,Text,"HEADLINE33","headline_33","Giới Thiệu"
31,Text,"SHAPE20","text_shape20","Giới Thiệu"
32,Image,"IMAGE3","image_3",""
33,Text,"GROUP127","text_group127","Hồng Nhung"
34,Text,"BOX39","text_box39","Hồng Nhung"
35,Text,"HEADLINE28","headline_28","Hồng Nhung"
36,Text,"GROUP57","text_group57","Hồng Nhung"
37,Text,"SHAPE28","text_shape28","Hồng Nhung"
38,Image,"IMAGE7","image_7",""
39,Text,"GROUP129","text_group129","Trọng Nhân"
40,Text,"BOX40","text_box40","Trọng Nhân"
41,Text,"HEADLINE101","headline_101","Trọng Nhân"
42,Text,"SECTION15","text_section15","Trọng Nhân"
43,Text,"GROUP135","text_group135","Trọng Nhân"
44,Text,"BOX42","save_the_date_5","Save The Date"
45,Text,"BOX43","save_the_date_6","Save The Date"
46,Text,"HEADLINE105","save_the_date_7","Save The Date"
47,Text,"GROUP138","save_the_date_8","Save The Date"
48,Text,"BOX53","save_the_date_9","Save The Date"
49,Text,"BOX51","text_box51",""
50,Text,"GROUP136","text_group136",""
51,Text,"COUNTDOWN4","text_countdown4",""
52,Text,"COUNTDOWN_ITEM13","text_countdown_item13",""
53,Text,"COUNTDOWN_ITEM14","text_countdown_item14",""
54,Text,"COUNTDOWN_ITEM15","event_date","Ngày"
55,Text,"COUNTDOWN_ITEM16","event_date_2","Ngày"
56,Text,"PARAGRAPH248","event_date_3","Ngày"
57,Text,"PARAGRAPH249","event_date_4","Ngày"
58,Text,"PARAGRAPH250","event_date_5","Ngày"
59,Text,"PARAGRAPH251","event_time","Giờ"
60,Text,"HEADLINE106","headline_106","Phút"
61,Text,"SHAPE55","text_shape55","Cùng Đếm Ngược thời gian"
62,Image,"IMAGE46","image_46",""
63,Text,"PARAGRAPH263","and_text","Vào lúc 10:00"
64,Text,"PARAGRAPH264","event_year","Thứ Năm"
65,Text,"PARAGRAPH265","event_year_2","Thứ Năm"
66,Text,"PARAGRAPH266","text_266","05 - 2025"
67,Text,"PARAGRAPH267","text_267","05 - 2025"
68,Text,"PARAGRAPH268","vu_quy_ceremony","LỄ vu quy"
69,Image,"IMAGE47","image_47",""
70,Text,"PARAGRAPH269","and_text_2","Vào lúc 08:00"
71,Text,"PARAGRAPH270","weekday_3","Thứ Sáu"
72,Text,"PARAGRAPH271","weekday_4","Thứ Sáu"
73,Text,"PARAGRAPH272","text_272","05 - 2025"
74,Text,"PARAGRAPH273","text_273","05 - 2025"
75,Text,"PARAGRAPH274","marriage_ceremony","LỄ THÀNH HÔN"
76,Text,"GROUP214","invitation_text","Trân Trọng Kính Mời"
77,Text,"HEADLINE117","invitation_text_2","Trân Trọng Kính Mời"
78,Text,"HEADLINE118","invitation_text_3","Trân Trọng Kính Mời"
79,Text,"HEADLINE119","invitation_text_4","Trân Trọng Kính Mời"
80,Text,"SECTION23","text_section23","THAM DỰ ĐÁM CƯỚI CỦA"
81,Text,"GROUP213","text_group213","TRỌNG NHÂN &amp; PHƯƠNG NHUNG"
82,Text,"LINE53","album_title","Album ảnh cưới"
83,Text,"HEADLINE116","album_title_2","Album ảnh cưới"
84,Image,"IMAGE64","image_64",""
85,Image,"IMAGE65","image_65",""
86,Image,"IMAGE66","image_66",""
87,Image,"IMAGE67","image_67",""
88,Image,"IMAGE68","image_68",""
89,Image,"IMAGE69","image_69",""
90,Image,"IMAGE70","image_70",""
91,Image,"IMAGE71","image_71",""
92,Image,"IMAGE72","image_72",""
93,Image,"IMAGE73","image_73",""
94,Text,"SECTION19","love_text","LOVE STORY"
95,Text,"HEADLINE108","love_text_2","LOVE STORY"
96,Text,"LINE49","love_text_3","LOVE STORY"
97,Text,"GROUP183","love_text_4","LOVE STORY"
98,Image,"IMAGE55","image_55",""
99,Text,"PARAGRAPH288","text_288",""" Cầu Hôn 💍"""
100,Text,"PARAGRAPH289","text_289",""" Cầu Hôn 💍"""
101,Image,"IMAGE52","image_52",""
102,Text,"PARAGRAPH284","text_284","Tình cờ khi cả 2 ra trường gặp lại nhau ""...."""
103,Image,"IMAGE51","image_51",""
104,Text,"PARAGRAPH283","groom_name","Cô dâu là mối tình đơn phương cấp 3 của chú rể"
105,Text,"PARAGRAPH285","groom_name_2","Cô dâu là mối tình đơn phương cấp 3 của chú rể"
106,Image,"IMAGE53","image_53",""
107,Text,"PARAGRAPH290","weekday_5","Chính thức về chung 1 nhà 🏡"
108,Text,"PARAGRAPH291","weekday_6","Chính thức về chung 1 nhà 🏡"
109,Image,"IMAGE56","image_56",""
110,Image,"IMAGE54","image_54",""
111,Text,"PARAGRAPH286","love_text_5","Câu chuyện tình yêu bắt đầu từ đây"
112,Text,"PARAGRAPH287","love_text_6","Câu chuyện tình yêu bắt đầu từ đây"
113,Text,"PARAGRAPH117","send_button","Cảm ơn bạn rất nhiều vì đã gửi những lời chúc mừng tốt đẹp nhất đến đám cưới của chúng mình!"
114,Text,"BOX25","send_button_2","Cảm ơn bạn rất nhiều vì đã gửi những lời chúc mừng tốt đẹp nhất đến đám cưới của chúng mình!"
115,Text,"FORM5","send_button_3","Gửi lời chúc"
116,Text,"687876ba227d8a0013a24db6","send_button_4","Gửi lời chúc"
117,Text,"BUTTON15","send_button_5","Gửi lời chúc"
118,Text,"BUTTON_TEXT15","send_button_6","Gửi lời chúc"
119,Text,"FORM_ITEM8","send_button_7","Gửi lời chúc"
120,Text,"FORM_ITEM9","text_form_item9",""
121,Text,"FORM_ITEM10","groom_name_3","Bạn Cô Dâu Chú Rể"
122,Text,"HEADLINE58","groom_name_4","Bạn chú Rể"
123,Text,"SECTION8","send_button_8","Gửi Lời Chúc Mừng"
124,Text,"PARAGRAPH109","send_button_9","Gửi Lời Chúc Mừng"
125,Text,"PARAGRAPH110","confirm_button","Xác Nhận Tham Dự"
126,Text,"PARAGRAPH114","confirm_button_2","Xác nhận tham dự đám cưới của"
127,Text,"PARAGRAPH115","text_115","Xin lỗi, tôi bận mất rồi"
128,Text,"FORM4","confirm_button_3","Xác nhận"
129,Text,"687876a9227d8a0013a24b96","confirm_button_4","Xác nhận"
130,Text,"BUTTON14","confirm_button_5","Xác nhận"
131,Text,"BUTTON_TEXT14","confirm_button_6","Xác nhận"
132,Text,"FORM_ITEM4","confirm_button_7","Xác nhận"
133,Text,"FORM_ITEM5","text_form_item5","Bạn sẽ tham gia bao nhiêu người ?"
134,Text,"FORM_ITEM7","text_form_item7","Bạn sẽ tham gia bao nhiêu người ?"
135,Text,"FORM_ITEM12","vu_quy_ceremony_2","Lễ Vu Quy"
136,Text,"FORM_ITEM13","marriage_ceremony_2","Lễ Thành Hôn"
137,Text,"SECTION6","text_section6","Mừng Cưới"
138,Text,"GROUP65","text_group65","Mừng Cưới"
139,Text,"HEADLINE48","headline_48","Mừng Cưới"
140,Text,"PARAGRAPH95","text_95","Mừng Cưới"
141,Image,"IMAGE9","image_9",""
142,Image,"IMAGE8","image_8",""
143,Image,"IMAGE11","image_11",""
144,Image,"IMAGE10","image_10",""
145,Text,"PARAGRAPH303","text_303","CTK:"
